# source_k7_atoms=51 rank_five_labeled=2064 distinct_triangle_count_vectors=1908
6,6,6,6,0,3,2,6,5,6,2,3,2,3,6,2,3,2,6,2,6,2,2,6,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,1,17,17,17,17,17,19,19,20,20,20,20,20,20,20,20,20,20,20,20,23,23,29,29,29,34,34,34,34,39,39,40,40,40,40,40,40,49,49,50,50,50,50,50,50
4,4,2,2,6,6,2,4,2,3,6,6,2,2,4,6,6,2,6,0,2,6,2,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,22,23,24,24,24,24,24,25,26,27,27,34,35,37,41,46,46,46,46,46,46,49,50,50,50
6,4,4,6,6,2,2,6,2,6,6,2,0,2,6,4,4,2,4,6,2,6,6,2,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,16,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,25,25,27,27,27,27,27,27,27,27,27,30,30,30,43,43,46,46,46,46,46,46,50,50,50,50,50
6,6,6,6,0,3,2,6,5,6,2,5,2,3,6,2,5,2,6,2,2,2,2,5,0,5,6,3,0,0,0,0,0,0,0,0,0,0,1,1,17,17,17,19,19,19,20,20,20,20,20,20,20,20,20,20,20,21,23,23,23,24,28,28,28,28,29,39,39,39,39,39,40,40,48,48,48,49,49,50,50,50,50,50
6,6,6,6,0,4,2,6,5,6,2,6,2,3,6,2,4,2,6,2,6,2,2,5,0,4,6,3,0,0,0,0,0,0,0,0,0,0,1,2,17,17,19,19,20,20,20,20,20,20,20,20,20,20,20,22,22,24,24,25,26,27,27,37,37,39,40,40,43,45,45,46,46,46,49,49,49,49,49,50,50,50,50,50
6,6,6,6,0,4,2,6,5,6,2,6,0,3,6,2,4,2,6,2,6,3,2,5,2,4,6,2,0,0,0,0,0,0,0,0,0,0,1,2,17,18,18,19,19,20,20,20,20,20,20,20,20,20,21,24,24,24,24,25,26,27,27,27,37,39,40,40,43,45,45,46,46,46,49,49,49,49,49,50,50,50,50,50
6,4,2,2,6,4,0,4,2,2,6,4,2,2,5,6,4,4,6,0,2,6,2,1,6,6,2,4,0,0,0,0,0,0,0,0,0,0,2,2,5,5,7,7,13,14,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,25,25,26,26,27,27,27,27,29,29,41,41,41,43,43,45,46,46,46,46,46,50,50
6,4,4,6,6,2,2,6,2,6,6,2,2,2,6,4,4,2,4,6,2,4,6,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,2,16,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,30,43,43,46,46,46,46,46,46,50,50,50,50,50
6,4,2,2,6,6,0,4,2,2,6,6,2,2,5,6,2,4,6,0,4,6,2,4,6,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,25,25,26,26,26,27,27,27,27,27,27,27,27,27,27,27,29,29,43,43,45,46,46,46,46,50,50,50
4,4,2,2,6,6,0,4,2,3,6,6,4,2,4,6,6,4,6,0,2,6,2,3,6,6,2,2,0,0,0,0,0,0,0,0,0,0,2,2,18,18,18,20,20,20,20,20,20,20,20,22,24,24,24,24,24,24,25,27,27,27,27,27,27,27,27,34,35,37,37,41,41,43,46,46,46,46,46,46,50,50,50,50
5,3,2,3,6,3,6,3,2,6,3,0,6,2,6,6,5,6,2,2,6,0,3,2,6,5,6,2,0,0,0,0,0,0,0,0,0,1,1,1,17,17,17,17,17,19,20,20,20,20,20,20,21,23,24,24,29,29,29,29,29,33,33,34,34,34,34,39,39,39,40,40,40,40,40,40,40,40,48,49,50,50,50,50
6,6,6,6,0,3,2,6,5,6,2,3,3,3,6,2,3,5,6,2,6,0,2,6,2,5,6,2,0,0,0,0,0,0,0,0,0,1,1,1,17,17,19,20,20,20,20,20,20,20,21,23,23,23,24,24,24,29,29,29,29,29,29,34,34,34,34,39,39,39,40,40,40,40,40,40,49,49,50,50,50,50,50,50
6,6,6,6,0,3,2,6,5,6,2,5,0,3,6,2,5,2,6,2,2,3,2,5,2,5,6,3,0,0,0,0,0,0,0,0,0,1,1,1,17,19,19,20,20,20,20,20,20,20,20,20,21,21,21,23,23,23,24,24,24,24,28,28,28,28,29,39,39,39,39,39,40,40,48,48,48,49,49,50,50,50,50,50
6,6,6,6,0,3,2,6,5,6,2,5,2,3,6,2,5,0,6,2,2,5,2,5,2,5,6,3,0,0,0,0,0,0,0,0,0,1,1,1,17,19,19,20,20,20,20,20,20,20,20,20,21,23,23,23,23,24,28,28,28,28,28,29,29,29,29,39,39,39,39,39,40,40,48,48,48,49,49,50,50,50,50,50
