12
0 1 2 3 4 5 6 7 8 9 10 11
1 3 4 0 7 6 8 2 5 10 11 9
2 5 6 9 3 10 0 11 7 4 1 8
3 0 7 1 2 8 5 4 6 11 9 10
4 6 8 10 0 11 1 9 2 7 3 5
5 9 3 2 11 0 7 6 10 1 8 4
6 10 0 4 9 1 2 8 11 3 5 7
7 8 5 11 1 9 3 10 4 2 0 6
8 11 1 7 10 3 4 5 9 0 6 2
9 2 11 5 6 7 10 3 0 8 4 1
10 4 9 6 8 2 11 0 1 5 7 3
11 7 10 8 5 4 9 1 3 6 2 0
